,state,age,total_population,total_citizen_population,total_registered,percent_registered_total,margin_of_error,percent_registered_citizen,margin_of_error_2,total_voted,percent_voted_total,margin_of_error_3,percent_voted_citizen,margin_of_error_4,sex_race_and_hispanic_origin
0,US,Total,249748,228832,153066.0,61.3,0.3,66.9,0.3,122281.0,49.0,0.3,53.4,0.3,
1,US,18 to 24,28993,26950,13241.0,45.7,0.9,49.1,0.9,8726.0,30.1,0.8,32.4,0.9,
2,US,25 to 34,44769,39280,23342.0,52.1,0.7,59.4,0.8,16545.0,37.0,0.7,42.1,0.8,
3,US,35 to 44,40784,35403,23383.0,57.3,0.8,66.0,0.8,18041.0,44.2,0.8,51.0,0.8,
4,US,45 to 64,83277,77085,55032.0,66.1,0.5,71.4,0.5,45829.0,55.0,0.5,59.5,0.5,
5,US,65+,51925,50113,38068.0,73.3,0.6,76.0,0.6,33139.0,63.8,0.6,66.1,0.7,
6,ALABAMA,Total,3753,3609,2490.0,66.4,2.5,69.0,2.5,1830.0,48.8,2.7,50.7,2.7,
7,ALABAMA,18 to 24,458,434,221.0,48.2,7.6,50.8,7.8,130.0,28.3,6.9,29.9,7.2,
8,ALABAMA,25 to 34,660,619,425.0,64.4,6.1,68.6,6.1,262.0,39.8,6.2,42.4,6.5,
9,ALABAMA,35 to 44,556,508,341.0,61.3,6.8,67.1,6.8,239.0,43.0,6.9,47.1,7.2,
10,ALABAMA,45 to 64,1340,1313,933.0,69.7,4.1,71.1,4.1,736.0,54.9,4.4,56.0,4.5,
11,ALABAMA,65+,740,735,571.0,77.1,5.0,77.7,5.0,463.0,62.6,5.8,63.1,5.8,
12,ALASKA,Total,523,497,337.0,64.4,2.7,67.7,2.7,263.0,50.2,2.9,52.8,2.9,
13,ALASKA,18 to 24,76,69,36.0,48.3,7.5,B,B,27.0,35.5,7.2,B,B,
14,ALASKA,25 to 34,104,99,57.0,55.1,6.4,58.0,6.5,39.0,37.5,6.2,39.6,6.4,
15,ALASKA,35 to 44,76,72,52.0,68.1,7.0,B,B,39.0,51.4,7.5,B,B,
16,ALASKA,45 to 64,173,167,121.0,69.8,4.5,72.7,4.5,98.0,56.8,4.9,59.1,5.0,
17,ALASKA,65+,94,91,70.0,74.7,5.9,77.0,5.8,59.0,63.0,6.5,65.0,6.5,
18,ARIZONA,Total,5361,4757,3262.0,60.8,2.2,68.6,2.2,2800.0,52.2,2.3,58.9,2.4,
19,ARIZONA,18 to 24,652,619,302.0,46.3,6.5,48.8,6.7,217.0,33.3,6.1,35.0,6.4,
20,ARIZONA,25 to 34,876,729,360.0,41.1,5.5,49.4,6.1,287.0,32.8,5.3,39.4,6.0,
21,ARIZONA,35 to 44,873,714,541.0,62.0,5.4,75.8,5.3,407.0,46.6,5.6,57.0,6.1,
22,ARIZONA,45 to 64,1834,1637,1229.0,67.0,3.6,75.0,3.5,1090.0,59.4,3.8,66.6,3.9,
23,ARIZONA,65+,1126,1057,830.0,73.7,4.3,78.5,4.2,799.0,71.0,4.5,75.6,4.4,
24,ARKANSAS,Total,2261,2158,1262.0,55.8,2.7,58.5,2.8,919.0,40.6,2.7,42.6,2.8,
25,ARKANSAS,18 to 24,281,258,119.0,42.4,7.7,46.3,8.2,61.0,21.9,6.5,23.9,7.0,
26,ARKANSAS,25 to 34,433,395,204.0,47.2,6.3,51.8,6.6,122.0,28.0,5.7,30.8,6.1,
27,ARKANSAS,35 to 44,302,278,154.0,50.9,7.6,55.3,7.8,100.0,33.2,7.1,36.1,7.6,
28,ARKANSAS,45 to 64,737,723,433.0,58.8,4.8,59.9,4.8,341.0,46.2,4.8,47.1,4.9,
29,ARKANSAS,65+,508,505,352.0,69.3,5.4,69.7,5.4,295.0,58.0,5.8,58.4,5.8,
30,CALIFORNIA,Total,30243,25525,15690.0,51.9,1.0,61.5,1.0,13240.0,43.8,0.9,51.9,1.0,
31,CALIFORNIA,18 to 24,3385,3100,1407.0,41.6,2.8,45.4,3.0,1096.0,32.4,2.7,35.3,2.8,
32,CALIFORNIA,25 to 34,5861,4734,2706.0,46.2,2.2,57.2,2.4,2045.0,34.9,2.1,43.2,2.4,
33,CALIFORNIA,35 to 44,5487,4187,2444.0,44.5,2.2,58.4,2.5,2058.0,37.5,2.2,49.2,2.6,
34,CALIFORNIA,45 to 64,9975,8415,5554.0,55.7,1.6,66.0,1.7,4792.0,48.0,1.7,56.9,1.8,
35,CALIFORNIA,65+,5535,5089,3580.0,64.7,2.1,70.3,2.1,3248.0,58.7,2.2,63.8,2.2,
36,COLORADO,Total,4353,4029,2645.0,60.8,2.5,65.6,2.5,2342.0,53.8,2.5,58.1,2.6,
37,COLORADO,18 to 24,437,404,228.0,52.2,8.0,56.4,8.2,166.0,38.0,7.7,41.1,8.1,
38,COLORADO,25 to 34,859,751,433.0,50.4,5.7,57.7,6.0,367.0,42.7,5.6,48.8,6.1,
39,COLORADO,35 to 44,841,763,509.0,60.5,5.6,66.7,5.7,432.0,51.3,5.7,56.6,6.0,
40,COLORADO,45 to 64,1389,1312,876.0,63.1,4.3,66.8,4.3,797.0,57.4,4.4,60.8,4.5,
41,COLORADO,65+,827,798,598.0,72.3,5.2,75.0,5.1,580.0,70.1,5.3,72.7,5.2,
